id,name,description,theme,resolution,format,provider,reference,reference_detail,latest_year,update_frequency,url
118,REGISTRATION OF VEHICLES IN JAIPUR DISTRICT,contains dataset of Registration of Vehicles in Jaipur District in yearly basis from 1990-2007,Private Vehicles,District,Printed table,"Transport Department, Govt. of Rajasthan","Master Development Plan 2025 (2011), vol1","Table 2-30, pg. 94",2007,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
119,TOTAL NUMBER OF VEHICLES REGISTERED,"This dataset provides a comprehensive overview of the number of registered vehicles in Jaipur from 2010-11 to 2020-21, categorized by different types of vehicles.",Private Vehicles,District,Printed table,"RTO, Jaipur","Transport Department, Government of Rajasthan (2020-21) STATISTICAL YEAR BOOK","Table 5.5, Table 5.6",2021,Every Year,https://transport.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/Statistical%20abstract%202020-21/Transport_Dept_Year_Book.pdf
120,WATER TAX: JAIPUR,This catalog contains yearly data of water tax on commercial and residential (2013 to 2018),Public Finance,City,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/water-taxjaipur
121,FINANCIAL HEALTH : JAIPUR,This catalogue contains the yearly municipal's expenditure and revenue,Public Finance,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/financial-health-jaipur
122,BUDGET FOR OPEN SPACES DEVELOPMENT FOR JAIPUR,This catalog contains Total Municipal Budget (in lakhs) and Municipal budget allocation for open spaces and / or parks (including development & maintenance (in lakhs),Public Finance,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/budget-open-spaces-development-jaipur
123,VAT & GST COLLECTION FOR JAIPUR,This catalog contains the yearly Total VAT/GST collection during the year (in INR Cr),Public Finance,District,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/vat-gst-collection-jaipur
124,TRAUMA CENTRES OF RAJASTHAN,"This dataset contains the district, trauma centre location, ambulance availability, vehicle no.,and ALS ambulance availability for rajasthan",Public Safety & Health,State,Printed table,"State Road Safety Cell, Department of Transport and Road Safety, Rajasthan","State Road Safety Cell, Department of Transport and Road Safety, Rajasthan",N/A,2023,N/A,https://roadsafetycell.rkcl.in/pageView/token=d3doM0tvbjVvNmVEbkJRM2YycHVUdz09
125,ON ROAD CRASH SCENARIO OF RAJASTHAN,"This dataset contains the summary of road crashes in rajasthan, comparative analysis of road accidents, month wise road accidents,killed and injured, road accident killed and injured according to time,according to road category,percentage share of people killed according to category of road, (summary -2014 to 2023, others -2022 &2023)",Public Safety & Health,State,Printed table,Rajasthan Knowledge Corporation Limited and State Road Safety Cell,"State Road Safety Cell, Department of Transport and Road Safety, Rajasthan",N/A,2023,N/A,https://roadsafetycell.rkcl.in/pageView/token=TXFXZzE0R0RxVlppTmlNVi9PSFlOUT09
126,BLACK SPOTS OF RAJASTHAN,"This dataset contains the black spots identified by the state in the calender years 2022(2019-2020-2021) in NH and SH in the form of Highway no., location, police station, district, and accident in 3 years",Public Safety & Health,State,Printed table,"Transport Department, Govt. of Rajasthan","State Road Safety Cell, Department of Transport and Road Safety, Rajasthan",N/A,2022,N/A,https://roadsafetycell.rkcl.in/pageView/token=UUp2TU8ySXR4SDB0QklrbFN6Q084UT09
127,FATALITIES BY ROAD ACCIDENTS IN JAIPUR CITY,This dataset provides the number of deaths caused by road accidents in Jaipur City from the year 2010 to 2017. ,Public Safety & Health,Region,Chart,"Transport Department, Govt. of Rajasthan",Cuts International (n.d.) Jaipur City Mobility Plan,pg. no 8,2017,N/A,Jaipur City Mobility Plan
128,CRIMES JAIPUR,This catalog describes the total number of crimes per year in jaipur city,Public Safety & Health,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/crimes-jaipur
129,MORTALITY RATE JAIPUR,This catalog contains data of total birth rate and death rate yearly,Public Safety & Health,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/mortality-rate-jaipur
130,INJURIES AND FATALITIES,This catalog contains data of the total number of fatalities and injuries due to traffic accidents yearly data.,Public Safety & Health,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/injuries-and-fatalities
131,SECURITY SURVEILLANCE,"List of junctions where surveillance cameras are installed
",Public Safety & Health,Discrete locations,,"Traffic Police, Jaipur","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2","ANNEXURE - 2-1, pg. 1 of 2-1",2022,N/A,Document not yet published
132,TRAFFIC SIGNALS AT JUNCTIONS,List of junctions where traffic signals have been installed in Jaipur city,Public Safety & Health,City,Printed table,"Traffic Police, Jaipur","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2","ANNEXURE-2-1, pg 1 of 2-1",2018,N/A,Document not yet published
133,BLACK SPOTS, Accident prone location names in Jaipur,Public Safety & Health,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2","Fig 2-32 (pg 2-56, CMP 2018)",2018,N/A,Document not yet published
134,DIVISION-WISE ACCIDENTS REPORTS," Accident Report Division wise i.e. East, south, West and North Division",Public Safety & Health,City,Chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2","Fig 2-31 (pg 2-55, CMP 2018)",2018,N/A,Document not yet published
135,ON ROAD ACCIDENTS,"this dataset shows the Number of Road Accidents, Persons Killed, Persons Injured and
Severity of Accidents",Public Safety & Health,District,Printed table,"Transport Department, Govt. of Rajasthan","Road Accidents in Rajasthan, Transport Department, Government of Rajasthan","Table 1.2, pg-17, row no-16",2018,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/roadsafty/Road%20Accidents%20in%20Rajasthan%202018.pdf
136,ON ROAD ACCIDENTS,"this dataset shows the Comparative Analysis of Number of Road Accidents, Persons Killed and
Persons Injured """,Public Safety & Health,District,Printed table,"Transport Department, Govt. of Rajasthan","Road Accidents in Rajasthan, Transport Department, Government of Rajasthan","Table 1:3, pg-20, row no-16",2018,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/roadsafty/Road%20Accidents%20in%20Rajasthan%202018.pdf
137,MY SAFETIPIN APP AUDIT SCORE IN JAIPUR CITY,"This catalog contains the reportID, safetiPinScore,mediaURL, comments, observationDateTime, location of various locations in Jaipur city ",Public Transportation,Discrete locations,Json,JDA,Indian urban data exchange (2023) IUDX,N/A,2019,N/A,https://catalogue.cos.iudx.org.in/jaipur/dataset/91e116be-03bd-4f3d-a60b-e9db59bf48f0
138,RECOMMENDED MASS TRANSIT CORRIDOR FOR JAIPUR CITY WITH PHASING,contains map with population density for the 2nd phase metro of jaipur,Public Transportation,Region,Printed map,"egis rail,egis india, feedback infra","Comprehensive Mobility Plan, Urban Transport Sector Assessment Report jaipur",fig 0-2,2017,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Project/DPR%20Phase%20II/CMP%20Executive%20Summary%20Final.pdf
139,JAIPUR CITY BUS ROUTES DESCRIPTION,"This dataset contains the street no., route description, number of buses and interval(min) of the operating buses in HIndi",Public Transportation,Region,Printed table,JCTSL,Jaipur City Transport Services Limited (n.d.),N/A,2024,N/A,https://transport.rajasthan.gov.in/content/transportportal/en/jaipur-bus/schedules-maps/bus-routes.html
140,PUBLIC TRANSPORT ACCESS JAIPUR,"This dataset contains no. of AC / Non AC buses, No. of bus terminals
,No. of bus stands, No. of bus stops",Public Transportation,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2019,N/A,https://smartcities.data.gov.in/catalog/publictransportaccessjaipur
141,DETAILS OF AVERAGE RIDERSHIP (2016-17) ON IMPORTANT SECTIONS SERVED BY JCTSL,Details of Average ridership for important sections in year 2016-17.,Public Transportation,City,Printed table,JCTSL,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2","ANNEXURE-2-1, pg 1 of 2-1",2017,N/A,Document not yet published
142,JAIPUR METRO STATIONS,contains the finished and proposed map of the number of metro stations and routes in Jaipur City.,Public Transportation,City,Printed map,JMRCL,Jaipur Metro Rail Corporation Ltd. (2024),N/A,N/A,N/A,https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/MetroStations.html
143,ROUTE MAP OF JAIPUR METRO,This dataset shows Route Map of Jaipur Metro,Public Transportation,City,Printed map,JMRCL,Jaipur Metro Rail Corporation Ltd. (2024),N/A,2018,N/A,https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/MetroStations.html
144,BUS ROUTE MAP2,This dataset in Figure 2-26: JCTSL Bus Route Map,Public Transportation,City,Printed map,JMC,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-26, pg. 2-44",2018,N/A,Document not yet published
145,BUS ROUTE MAP1,This dataset  in Figure 2-25: JCTSL Bus Route Map,Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-25, pg. 2-43",2018,N/A,Document not yet published
146,INTER CITY PUBLIC TRANSPORT,This dataset Figure 2-21 vol1 shows inter-city passenger traffic demand,Public Transportation,City,Printed map,"RSRTC, JCTSL","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-21, pg. 2-35",2018,N/A,Document not yet published
147,INTRA CITY TERMINAL AND DEPOTS,This dataset in Figure 2-22: vol1 Map showing various Intra-city (JCTSL) Bus Terminals and Depots,Public Transportation,City,Printed map,JCTSL,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-22, pg. 2-38",2018,N/A,Document not yet published
148,INTER CITY TERMINAL AND DEPOTS,This dataset in Figure 2-23: Map showing various Inter-city (RSRTC) Bus Terminals and Depots,Public Transportation,City,Printed map,RSRTC,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 2-23, pg. 2-39",2018,N/A,Document not yet published
149,PUBLIC TRANSPORT ROAD NETWORK,This dataset shows the Coded Public Transport Network for JDA Region,Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 6-7 pg 6-15,2022,N/A,Document not yet published
150,PUBLIC TRANSPORT ROAD NETWORK,This dataset shows the Coded Public Transport Network for JMC,Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1",Figure 6-8 pg 6-15,2022,N/A,Document not yet published
151,EXISTING BUS CIRCULATION TO AND FROM SINDHI CAMP TERMINAL,Map showing existing bus routes to and from Sindhi Camp Terminal.,Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-21, Pg. 7-25",2022,N/A,Document not yet published
152,EXISTING JCTSL BUS ROUTE COVERAGE,Map showing Existing and Proposed JCTSL Bus Route Coverage,Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-59, Pg. 7-85",2022,N/A,Document not yet published
153,OPERATIONAL BRTS CORRIDORS,"Map showing Operational BRTS Corridors 
",Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-70, Pg. 7-111",2022,N/A,Document not yet published
154,PASSENGER AMENITIES NEAR METRO STATIONS,"This dataset contains the passenger amenities near metro stations like hospitals, cafe & hotels, police stations and others",Public Transportation,Region,Printed table,JMRCL,Jaipur Metro Rail Corporation Ltd. (2024),N/A,2024,N/A,https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/PASSENGERAMENITIESNEARMETROSTATIONS.html
155,BUSES JAIPUR,This dataset contains the number of buses in Jaipur City,Public Transportation,City,,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2017,N/A,https://smartcities.data.gov.in/catalog/buses-jaipur
156,EARNINGS FROM BUS TRIPS JAIPUR,This dataset contains the earnings from bus trips jaipur,Public Transportation,City,,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2017,N/A,https://smartcities.data.gov.in/catalog/earningsfrombustripsjaipur
157,TYPE OF APPROACH TO VILLAGE AND BUS SERVICES IN JAIPUR REGION,This dataset provides information about the approaches to the village and bus services.,Public Transportation,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-16, pg. 170",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
158,DETAILS OF BUS ROUTES AND FREQUENCY,"Contains Bus depot,route, route no., route length, frequency",Public Transportation,City,Printed table,Wilbur smith associates,Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro,"ANNEXURE - 2, pg. 113",2009,N/A,https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf
159,DETAILS OF BUS ROUTE MAP,Contains simplified Bus route along with railway tracks for 01.05.23,Public Transportation,City,Printed map,"Transport Department, Govt. of Rajasthan",Jaipur City Transport Services Limited (n.d.),N/A,2023,N/A,https://transport.rajasthan.gov.in/content/dam/transport/jaipurbus/image/Jaipur%20Bus%20Map%20Final_01.05.23.jpg
160,JAIPUR METRO TIME TABLE,Contains the Salient feaures of public time table w.e.f. 31.01.2023,Public Transportation,City,Printed table,JMRCL,Jaipur Metro Rail Corporation Ltd. (2023),N/A,2023,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Passenger%20Information/Metro%20time%20Table/Salient%20Features%20of%20Time%20Table%20w.e.f.%2030.01.2023.pdf
161,PARKING RATE AT METRO STATION,Contains the parking rate at metro station,Public Transportation,City,Printed table,JMRCL,Jaipur Metro Rail Corporation Ltd. (2024),N/A,2024,N/A,https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/ParkingatMetroStations.html
162,JAIPUR METRO FARE MATRIX,This dataset provides the Fare structure of metro operations by JMRC dated 11.09.2020,Public Transportation,City,Printed table,JMRCL,Jaipur Metro Rail Corporation Ltd. (2020),N/A,2024,N/A,https://transport.rajasthan.gov.in/content/dam/transport/metro/Passenger%20Information/MetroFares/Notification%20Fare%20structure%20of%20metro%20operation%20by%20JMRC%20dtd_11.09.2020.pdf.pdf
163,JAIPUR CITY BUS FARE MATRIX,"This dataset provides the fares for the AC & Non A/C Buses, women and students according to the distances.",Public Transportation,City,Printed table,JCTSL,Transport Department Of Rajasthan website,N/A,2024,N/A,https://transport.rajasthan.gov.in/content/transportportal/en/jaipur-bus/fares-tickets/fare-chart.html
164,AVAILABILITY OF BUS SERVICES IN JAIPUR REGION,The map provides the regional analysis for availability/non-availability of bus services.,Public Transportation,Region,Printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1","Map 3-15, pg. 169",2001,N/A,https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf
165,EXISTING BUS TERMINALS IN JAIPUR CITY,"Map showing Comparison of Existing and Proposed Terminals 
",Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-52, Pg. 7-77",2022,N/A,Document not yet published
166,EXISTING INTER-CITY AND INTRA-CITY DEPOTS,"Map showing Existing and proposed Inter-city and Intra-city Depots 
",Public Transportation,City,Printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1","Figure 7-54, Pg. 7-79",2022,N/A,Document not yet published
167,ELECTRICITY CONSUMPTION JAIPUR,"This catalog contains data about consumption of electricity for domestic, industrial,commerial, public waterworks and street lights, and other consumptions",Resource Use,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/electricity-consumption-jaipur
168,WATER CONSUMPTION JAIPUR,"This catalogue contains data for ward wise water supply capacity,domestic water consumption and percentage area of water supply network",Resource Use,Region,Csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue",N/A,2018,N/A,https://smartcities.data.gov.in/catalog/water-consumption-jaipur
169,"SATELLITE IMAGE CARTOSAT 1 PAN, STEREO (2.5M SPATIAL RESOLUTION)","contains satellite imagery of 2.5m spatial resolution PAN-Ortho Rectified (without GCP), Stereo- RAD Ortho kit with 27.5kmx27.5km swath width",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2019,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
170,"SATELLITE IMAGE CARTOSAT 1 ,CARTODEM (2.5M,10M SPATIAL RESOLUTION)",contains satellite imagery of DSM of 10m Posting and 2.5m Posting with swath width 14km x14km  is available,Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2019,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
171,"SATELLITE IMAGE CARTOSAT 2 PAN, (1M SPATIAL RESOLUTION)",contains satellite imagery of GEO Orthokit and Ortho Rectified (without GCP) with swath width of 9.8km x 9.8km is available,Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2019,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
172,"SATELLITE IMAGE CARTOSAT 2S, PAN, (0.60M SPATIAL RESOLUTION)",contains satellite imagery of GEO Orthokit and Ortho Rectified (without GCP) with swath width of 9.8km x 9.8km is available,Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
173,"SATELLITE IMAGE CARTOSAT 2S, MX, (1.60M SPATIAL RESOLUTION)","contains satellite imagery of GEO Orthokit, Ortho Rectified (without GCP),Ortho Mosaic (Min:2, Max : 4 ), and NCC & FCC (Ortho Rectified-without GCP) with swath width of 9.8km x 9.8km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
174,"SATELLITE IMAGE CARTOSAT 2S, PAN+MX, (0.60M SPATIAL RESOLUTION)","contains satellite imagery of Pan-sharpened, Pan-sharpened Mosaic (Min:2, Max:4), and NCC & FCC (Pan-sharpened) with swath width of 9.8km x 9.8km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
175,"SATELLITE IMAGE CARTOSAT 3, PAN, (0.28M,0.45M SPATIAL RESOLUTION)","contains satellite imagery of 0.28m- GEO Orthokit, and 0.25m and 0.45m - Ortho Rectified (without GCP) with swath width of 17km x 17 km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
176,"SATELLITE IMAGE CARTOSAT 3,MX (1.10M SPATIAL RESOLUTION)","contains satellite imagery of GEO Orthokit, Ortho Rectified (without GCP) with a swath width of 17km x 17 km and Ortho Rectified (without GCP), NCC & FCC (Ortho Rectified-without GCP) of  swath width of 10km x 10km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
177,"SATELLITE IMAGE CARTOSAT 3, PAN+MX, (0.45M SPATIAL RESOLUTION)",contains satellite imagery of Pan-sharpened and NCC & FCC (Pan-sharpened) with swath width of 10km x 10km is available,Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,4-5 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
178,"SATELLITE IMAGE RISAT-1 , [SAR ,FRS1 ,FRS2] (3M-50M SPATIAL RESOLUTION)","contains satellite imagery of Geometrically Terrain Corrected, Single Look Complex, and Multi Look Ground Range  with swath width of 25km x 25km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2016,25 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
179,"SATELLITE IMAGE EOS-04(OR RISAT-1A), [SAR ,FRS1 ,FRS2] (3M-50M SPATIAL RESOLUTION)","contains satellite imagery of Geometrically Terrain Corrected, Single Look Complex,Multi Look Ground Range,Covariance, and Polarimetric Decomposed  with swath width of 20km x 25km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,25 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
180,"SATELLITE IMAGE NOVASAR-1,ALL MODES (6-33 M SPATIAL RESOLUTION)","contains satellite imagery of Geometrically Terrain Corrected, Single Look Complex Slant range, and Multi Look Ground Range with swath width of 13-400km x 13-400km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,16 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
181,"SATELLITE IMAGE KOMPSAT-3/3A ,PAN & MX(0.5, 2.2M SPATIAL RESOLUTION)","contains satellite imagery of Geo Orthokit,and Bundled with swath width of 15km x 15km is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,3-4 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
182,"SATELLITE IMAGE RESOURCESAT-1, LISS-3(23.5M),LISS-4(5.8M),AWIFS(56M SPATIAL RESOLUTION)","contains satellite imagery of  LISS-3(23.5m spatial resolution, swath width-141 km),LISS-4{5.8m spatial resolution, swath width -[23.9 km (Mx) 70 kms (Mono)]},AWiFS {56m spatial resolution, swath width-[740 km (Combined) 370 km (Each head)]} is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,24 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
183,"SATELLITE IMAGE RESOURCESAT-2, LISS-3(23.5M),LISS-4(5.8M),AWIFS(56M SPATIAL RESOLUTION)","contains satellite imagery of  LISS-3(23.5m spatial resolution, swath width-141 km),LISS-4{5.8m spatial resolution, swath width -[23.9 km (Mx) 70 kms (Mono)]},AWiFS {56m spatial resolution, swath width-[740 km (Combined) 370 km (Each head)]} is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,24 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
184,"SATELLITE IMAGE RESOURCESAT-2A, LISS-3(23.5M),LISS-4(5.8M),AWIFS(56M SPATIAL RESOLUTION)","contains satellite imagery of  LISS-3(23.5m spatial resolution, swath width-141 km),LISS-4{5.8m spatial resolution, swath width -[23.9 km (Mx) 70 kms (Mono)]},AWiFS {56m spatial resolution, swath width-[740 km (Combined) 370 km (Each head)]} is available",Satellite Images,Spatial grid,Geotiff image,ISRO,ISRO (2024) Bhoonidhi,N/A,2024,24 days,https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html
185,SATELLITE IMAGE SENTINEL-2 (10M SPATIAL RESOLUTION),"contains satellite imagery of MSI(visible,NIR-10m,6 bands at 20 m resolution,3 bands at 60 m resolution)",Satellite Images,Spatial grid,Geotiff image,ESA,Copernicus Browser (2024) Copernicus Browser,N/A,2024,5 days,https://browser.dataspace.copernicus.eu/?zoom=12&lat=27.21685&lng=75.70583&themeId=DEFAULT-THEME&visualizationUrl=U2FsdGVkX19DjWEnO%2ByGm%2Fp%2FJ%2FAPbVIARGIJNH7KDxkU%2F636Z104oNn9O8dXZZQdUM4lcdcJL1YMbRciKqFP%2BNExhtgTISXD%2FgGjojb12Q7t1BEbR%2BzUxvSG36geiWvC&datasetId=S2_L1C_CDAS&fromTime=2023-01-25T00%3A00%3A00.000Z&toTime=2023-01-25T23%3A59%3A59.999Z&layerId=1_TRUE_COLOR&demSource3D=%22MAPZEN%22&cloudCoverage=30&dateMode=SINGLE
186,"SATELLITE IMAGE LANDSAT-1 OR ERTS-1 ,MSS- (79M SPATIAL RESOLUTION)",contains satellite imagery of (MSS at 79m spatial resolution(RBV)-40m),Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,1978,18 days,https://earthexplorer.usgs.gov/
187,"SATELLITE IMAGE LANDSAT-2 ,MSS- (79M SPATIAL RESOLUTION)","contains satellite imagery of (MSS at 79m spatial resolution, (RBV)-40m)",Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,1982,18 days,https://earthexplorer.usgs.gov/
188,"SATELLITE IMAGE LANDSAT-3 ,MSS- (79M SPATIAL RESOLUTION)",contains satellite imagery of (MSS at 79m spatial resolution(RBV)-40m),Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,1983,18 days,https://earthexplorer.usgs.gov/
189,"SATELLITE IMAGE LANDSAT-4 ,MSS-(79M) & TM(30M,120M)","contains satellite imagery of spatial resolution 30 meters (TM, VIS/NIR/SWIR), 120 meters (thermal); 79 meters (MSS)",Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,1993,16 days,https://earthexplorer.usgs.gov/
190,"SATELLITE IMAGE LANDSAT-5 ,MSS-(79M) & TM(30M,120M)","contains satellite imagery of spatial resolution 30 meters (TM, VIS/NIR/SWIR), 120 meters (thermal); 79 meters (MSS)",Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,2013,16 days,https://earthexplorer.usgs.gov/
191,"SATELLITE IMAGE LANDSAT-7 ,ETM+(15M,30M,120M)","contains satellite imagery of spatial resolution 30 meters (VIS/NIR/SWIR), 60 meters (thermal), 15 meters (panchromatic)",Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,2017,16 days,https://earthexplorer.usgs.gov/
192,"SATELLITE IMAGE LANDSAT-8 ,PAN(15M),OLI (30M) & TIRS(100M)","contains satellite imagery of spatial resolution 30 meters (OLI), 100 meters (TIRS), 15 meters (panchromatic)",Satellite Images,Spatial grid,Geotiff image,NASA,US Geological Survey (2024) USGS Earth Explorer,N/A,2024,16 days,https://earthexplorer.usgs.gov/
