id,title,description,keywords,sector,group,jurisdiction,frequency,granularity__spatial,granularity__temporal,date__earliest,date__latest,access_type,format,provider,reference,url,access_method
107,Intermediate Public Transport Facilities,Issues with IPT Facilities,IPT,Intermediate Public Transport,L&T Infra Engineering Transport Study,Jaipur Development Authority (2018),unknown,region,one-time,,2018,private,chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 3-14 pg 3-52",Document not yet published,Not currently available
109,Base Map,"Information about Region Boundary, Contour, Railways, National Highway, State Highway, City Road-Major, City Road-Minor, Unmetalled roads, River Course/Nallah/Waterbody, Walled City","Region Boundary, Infrastructure , Geographical Features, walled city",Land Use,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2009,open,vector map,JDA,"JDA (2011) Master Development Plan 2025, website, Mapbook 1",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook1.pdf,Go to source URL
110,Generalised Existing Land Use Map,Generalised existing land use for Jaipur U1 Area.,"Existing Land Use, Jaipur, U1 Area",Land Use,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2009,open,vector map,JDA,"JDA (2011) Master Development Plan 2025, website, Mapbook 2",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook2.pdf,Go to source URL
112,Land Use Plan,Proposed land use plan 2025 for Jaipur U1 Area.,"Proposed land use, U1 area",Land Use,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2025,open,vector map,JDA,"JDA (2011) Master Development Plan 2025, website, Mapbook 4",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook4.pdf,Go to source URL
111,Land Utilization Map,Land Utilization of Jaipur Region,"Land Utilization, Land Use, Jaipur Region",Land Use,master plan map,Jaipur Development Authority (2018),unknown,region,one-time,,2009,open,vector map,JDA,"JDA (2011) Master Development Plan 2025, website, Mapbook 3",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Mapbook3.pdf,Go to source URL
108,Land Utilization Of Jaipur District,Land utilization of different landuse for Jaipur District,"Land Utilization, Land Use, Jaipur District",Land Use,,Jaipur District,unknown,district,one-time,,2001,open,printed table,JDA,"JDA (2011) Master Development Plan 2025, vol1, Table 2-5, Chart 2-1, pg.48",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
291,No of registered vehicles in Jaipur city,Number of registered two-wheelers and cars in Jaipur city,"transport report, modal shares, vehicle registrations",Private Vehicles,,Jaipur ,unknown,city,one-time,2010,2017,open,printed table,United Nations Economic and Social Commission for Asia and the Pacific,"Mehta, S (2019) Assessment of Urban Mobility in Jaipur using the Sustainable Urban Transport Index (SUTI), Table 1, pg.11",https://www.unescap.org/sites/default/files/Jaipur%2C%20India.pdf,Go to source URL
113,No. Of Households Having Bicycle,Number and percentage of households having bicycle.,Bicycle,Private Vehicles,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Table -9, pg-569",https://censusindia.gov.in/nada/index.php/catalog/1069,Go to source URL
115,No. Of Households Having Car/Jeep/Van,Number and percentage of households having Car/Jeep/Van.,"car, Jeep, Van",Private Vehicles,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Table -9, pg-569",https://censusindia.gov.in/nada/index.php/catalog/1069,Go to source URL
114,No. Of Households Having Scooter/Motorcycle/Moped,Number and percentage of households havingScooter/Motorcycle/Moped.,"Scooter, motorcycle, Moped",Private Vehicles,Census handbook,Jaipur District,unknown,district,one-time,,2011,open,printed table,"Directorate of Census Operations, Rajasthan","Directorate of Census Operations, Rajasthan (2014) Census of India 2011 - Rajasthan - Series 09 - Part XII B - District Census Handbook, Jaipur, Table -9, pg-569",https://censusindia.gov.in/nada/index.php/catalog/1069,Go to source URL
118,Registration Of Vehicles In Jaipur District,Registration of Vehicles in Jaipur District in yearly basis from 1990-2007,"Vehicle Registration, Jaipur District",Private Vehicles,,Jaipur District,unknown,district,one-time,1990,2007,open,printed table,"Transport Department, Govt. of Rajasthan","Master Development Plan 2025 (2011), vol1, Table 2-30, pg. 94",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
119,Total Number Of Vehicles Registered,"Number of registered vehicles in Jaipur from 2010-11 to 2020-21, categorized by different types of vehicles.","Registered vehicles, overview",Private Vehicles,,Jaipur District,Every Year,district,one-time,2010,2021,open,printed table,"RTO, Jaipur","Transport Department, Government of Rajasthan (2020-21) STATISTICAL YEAR BOOK, Table 5.5, Table 5.6",https://transport.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/Statistical%20abstract%202020-21/Transport_Dept_Year_Book.pdf,Go to source URL
117,Vehicle Ownership Information,Details of Vehicle Ownership in JMC and JDA,"Vehicle ownership, JMC, JDA",Private Vehicles,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,private,chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 3-8 pg 3-34",Document not yet published,Not currently available
116,Vehicle Registrations Data Jaipur,"city name, the no. of registrations of buses, four-wheelers, two-wheelers, Goods Carrier Vehicles, Light Motor Vehicles, and miscellaneous others","vehicle registration, jaipur",Private Vehicles,Smartcities.gov.in data,Jaipur City,unknown,city,one-time,2015,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/vehicle-registrations-data-jaipur,Go to source URL
122,Budget For Open Spaces Development For Jaipur,Total Municipal Budget (in lakhs) and Municipal budget allocation for open spaces and / or parks (including development & maintenance (in lakhs),Municipal budget,Public Finance,Smartcities.gov.in data,Jaipur Municipal Corporation,unknown,region,one-time,,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/budget-open-spaces-development-jaipur,Go to source URL
121,Financial Health : Jaipur,Yearly municipal's expenditure and revenue,"Expenditure, revenue, municipal area, yearly",Public Finance,Smartcities.gov.in data,Jaipur Municipal Corporation,unknown,region,one-time,2015,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/financial-health-jaipur,Go to source URL
123,Vat & Gst Collection For Jaipur,Yearly total VAT/GST collection during the year (in INR Cr),VAT/GST Collection,Public Finance,Smartcities.gov.in data,Jaipur District,unknown,district,one-time,2014,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/vat-gst-collection-jaipur,Go to source URL
120,Water Tax: Jaipur,Yearly data of water tax on commercial and residential (2013 to 2018),"Water tax, commercial, residential",Public Finance,Smartcities.gov.in data,Jaipur City,unknown,city,one-time,2013,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/water-taxjaipur,Go to source URL
133,Black Spots,Accident prone location names in Jaipur,Accidents hotspots,Public Safety & Health,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,open,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2, Fig 2-32 (pg 2-56, CMP 2018)",Document not yet published,Not currently available
126,Black Spots Of Rajasthan,"black spots identified by the state in the calender years 2022(2019-2020-2021) in NH and SH in the form of Highway no., location, police station, district, and accident in 3 years","Black Spots Data, Highway Accident Records",Public Safety & Health,,Rajasthan,unknown,state,one-time,2019,2022,open,printed table,"Transport Department, Govt. of Rajasthan","State Road Safety Cell, Department of Transport and Road Safety, Rajasthan, NA",https://roadsafetycell.rkcl.in/pageView/token=UUp2TU8ySXR4SDB0QklrbFN6Q084UT09,Go to source URL
128,Crimes Jaipur,This catalog describes the total number of crimes per year in jaipur city,criminal history,Public Safety & Health,Smartcities.gov.in data,Jaipur Municipal Corporation,unknown,region,one-time,2014,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/crimes-jaipur,Go to source URL
134,Division-Wise Accidents Reports,"Accident Report Division wise i.e. East, south, West and North Division",Accident report,Public Safety & Health,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,open,chart,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2, Fig 2-31 (pg 2-55, CMP 2018)",Document not yet published,Not currently available
127,Fatalities By Road Accidents In Jaipur City,the number of deaths caused by road accidents in Jaipur City from the year 2010 to 2017. ,"deaths, road accidents, faltalities",Public Safety & Health,,Jaipur Municipal Corporation,unknown,region,one-time,2010,2017,open,chart,"Transport Department, Govt. of Rajasthan","Cuts International (n.d.) Jaipur City Mobility Plan, pg. no 8",Jaipur City Mobility Plan,Not currently available
130,Injuries And Fatalities,Total number of fatalities and injuries due to traffic accidents yearly data.,"Fatalities, injuries, traffic accidents",Public Safety & Health,Smartcities.gov.in data,Jaipur Municipal Corporation,unknown,region,one-time,2016,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/injuries-and-fatalities,Go to source URL
129,Mortality Rate Jaipur,Total birth rate and death rate yearly,"birth rate, death rate, jaipur",Public Safety & Health,Smartcities.gov.in data,Jaipur Development Authority (2018),unknown,region,one-time,2013,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/mortality-rate-jaipur,Go to source URL
125,On Road Crash Scenario Of Rajasthan,"summary of road crashes in rajasthan, comparative analysis of road accidents, month wise road accidents,killed and injured, road accident killed and injured according to time,according to road category,percentage share of people killed according to category of road, (summary -2014 to 2023, others -2022 &2023)","Road Accident Statistics, Accident Analysis",Public Safety & Health,,Rajasthan,unknown,state,one-time,2014,2023,open,printed table,Rajasthan Knowledge Corporation Limited and State Road Safety Cell,"State Road Safety Cell, Department of Transport and Road Safety, Rajasthan, NA",https://roadsafetycell.rkcl.in/pageView/token=TXFXZzE0R0RxVlppTmlNVi9PSFlOUT09,Go to source URL
135,On-Road Accidents,"Number of Road Accidents, Persons Killed, Persons Injured and Severity of Accidents",Road transportation accidents,Public Safety & Health,,Jaipur district,unknown,district,one-time,,2018,open,printed table,"Transport Department, Govt. of Rajasthan","Road Accidents in Rajasthan, Transport Department, Government of Rajasthan, Table 1.2, pg. 17, row no-16",https://www.tourism.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/roadsafty/Road%20Accidents%20in%20Rajasthan%202018.pdf,Go to source URL
136,On-Road Accidents,"Number of Road Accidents, Persons Killed and Persons Injured","Comparative analysis, road accidents",Public Safety & Health,,Jaipur district,unknown,district,one-time,2017,2018,open,printed table,"Transport Department, Govt. of Rajasthan","Road Accidents in Rajasthan, Transport Department, Government of Rajasthan, Table 1:3, pg. 20, row no-16",https://www.tourism.rajasthan.gov.in/content/dam/transport/transport-dept/pdf/roadsafty/Road%20Accidents%20in%20Rajasthan%202018.pdf,Go to source URL
292,Road Accidents,Total number of road accidents per year,"road accidents, fatalities, injuries",Public Safety & Health,,Jaipur Municipal Corporation,unknown,city,one-time,2019,2022,open,printed table,JDA,"Rites (2026) Comprehensive Mobility Plan for Jaipur City - Draft CMP report, Table 2.7, pg. 2-12",https://jdaservice.rajasthan.gov.in/pdf/others/Jaipur_CMP_Report_022026.pdf,Go to source URL
131,Security Surveillance,"List of junctions where surveillance cameras are installed
",Surveillance Cameras,Public Safety & Health,L&T Infra Engineering Transport Study,,unknown,discrete locations,one-time,,2022,private,,"Traffic Police, Jaipur","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2, ANNEXURE - 2-1, pg. 1 of 2-1",Document not yet published,Not currently available
132,Traffic Signals At Junctions,List of junctions where traffic signals have been installed in Jaipur city,"Traffic junctions, junctions",Public Safety & Health,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,open,printed table,"Traffic Police, Jaipur","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2, ANNEXURE-2-1, pg 1 of 2-1",Document not yet published,Not currently available
124,Trauma Centres Of Rajasthan,"District, trauma centre location, ambulance availability, vehicle no.,and ALS ambulance availability for rajasthan","Trauma/Ambulance Data, Emergency Services",Public Safety & Health,,Rajasthan,unknown,state,one-time,,2023,open,printed table,"State Road Safety Cell, Department of Transport and Road Safety, Rajasthan","State Road Safety Cell, Department of Transport and Road Safety, Rajasthan, NA",https://roadsafetycell.rkcl.in/pageView/token=d3doM0tvbjVvNmVEbkJRM2YycHVUdz09,Go to source URL
164,Availability Of Bus Services In Jaipur Region,The map provides the regional analysis for availability/non-availability of bus services.,"bus services, regional analysis",Public Transportation,master plan map,Jaipur Region,unknown,region,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-15, pg. 169",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
145,Bus Route Map1,JCTSL Bus Route Map,"JCTSL, Bus route, map",Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-25, pg. 2-43",Document not yet published,Not currently available
144,Bus Route Map2,JCTSL Bus Route Map,"JCTSL, Bus route, map",Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,private,printed map,JMC,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-26, pg. 2-44",Document not yet published,Not currently available
155,Buses Jaipur (2015-2017),number of buses in Jaipur City,"Buses, Jaipur City",Public Transportation,Smartcities.gov.in data,,unknown,city,one-time,2015,2017,open,,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/buses-jaipur,Go to source URL
290,Buses in Jaipur,Number of buses in Jaipur,,Public Transportation,,Jaipur City,unknown,city,one-time,,2025,open,,"Transport Department, Govt. of Rajasthan","Transport Department Of Rajasthan (2026), n/a",https://transport.rajasthan.gov.in/content/transportportal/en/jaipur-bus.html,Go to source URL
141,Details Of Average Ridership (2016-17) On Important Sections Served By Jctsl,Details of Average ridership for important sections in year 2016-17.,Average ridership,Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2017,open,printed table,JCTSL,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol2, ANNEXURE-2-1, pg 1 of 2-1",Document not yet published,Not currently available
159,Details Of Bus Route Map,simplified Bus route along with railway tracks for 01.05.23,bus routes,Public Transportation,,"Jaipur City, specific locations",unknown,city,one-time,,2023,open,printed map,"Transport Department, Govt. of Rajasthan","Jaipur City Transport Services Limited (n.d.), NA",https://transport.rajasthan.gov.in/content/dam/transport/jaipurbus/image/Jaipur%20Bus%20Map%20Final_01.05.23.jpg,Go to source URL
158,Details Of Bus Routes And Frequency,"Bus depot,route, route no., route length, frequency","bus routes, frequency",Public Transportation,,"Jaipur City, specific locations",unknown,city,one-time,,2009,open,printed table,Wilbur smith associates,"Wilbur Smith Associates(2010) Traffic and Transportation Study for Detailed Project Report for Proposed Jaipur Metro, ANNEXURE - 2, pg. 113",https://www.tourism.rajasthan.gov.in/content/dam/transport/metro/Project/Traffic%20Study%20by%20Wilbur%20Smith%20Associates-2010/Traffic%20and%20Transportation%20Study%20For%20DPR%20For%20Proposed%20Jaipur%20Metro%20Feb%202010.pdf,Go to source URL
156,Earnings From Bus Trips Jaipur,earnings from bus trips jaipur,"Buses, trip income",Public Transportation,Smartcities.gov.in data,Jaipur City,unknown,city,one-time,2015,2017,open,,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/earningsfrombustripsjaipur,Go to source URL
151,Existing Bus Circulation To And From Sindhi Camp Terminal,existing bus routes to and from Sindhi Camp Terminal.,"Bus route, sindhi camp",Public Transportation,L&T Infra Engineering Transport Study,Specific location,unknown,city,one-time,,2022,open,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 7-21, Pg. 7-25",Document not yet published,Not currently available
165,Existing Bus Terminals In Jaipur City,"Comparison of Existing and Proposed Terminals 
",Terminals,Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2022,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 7-52, Pg. 7-77",Document not yet published,Not currently available
166,Existing Inter-City And Intra-City Depots,"Existing and proposed Inter-city and Intra-city Depots 
","Depots: inter city, intra city",Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2022,private,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 7-54, Pg. 7-79",Document not yet published,Not currently available
152,Existing Jctsl Bus Route Coverage,Existing and Proposed JCTSL Bus Route Coverage,Bus route JCTSL,Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2022,open,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 7-59, Pg. 7-85",Document not yet published,Not currently available
146,Inter City Public Transport,Inter-city passenger traffic demand,"inter city, traffic demand, public transport",Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,private,printed map,"RSRTC, JCTSL","L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-21, pg. 2-35",Document not yet published,Not currently available
148,Inter City Terminal And Depots,Inter-city (RSRTC) Bus Terminals and Depots,"inter city, RSRTC, nis terminals, depots, ",Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,private,printed map,RSRTC,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-23, pg. 2-39",Document not yet published,Not currently available
147,Intra City Terminal And Depots,Intra-city (JCTSL) Bus Terminals and Depots,"intra city, JCTSL, bus terminals, depots, public transport",Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2018,private,printed map,JCTSL,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 2-22, pg. 2-38",Document not yet published,Not currently available
163,Jaipur City Bus Fare Matrix,"the fares for the AC & Non A/C Buses, women and students according to the distances.","city bus, jaipur, fare matrix",Public Transportation,,Jaipur City,unknown,city,one-time,,2024,open,printed table,JCTSL,"Transport Department Of Rajasthan website, NA",https://transport.rajasthan.gov.in/content/transportportal/en/jaipur-bus/fares-tickets/fare-chart.html,Go to source URL
139,Jaipur City Bus Routes Description,"Street no., route description, number of buses and interval(min) of the operating buses in HIndi"," street no., route description, number of buses, interval, city bus",Public Transportation,,Jaipur Region,unknown,region,one-time,,2024,open,printed table,JCTSL,"Jaipur City Transport Services Limited (n.d.), NA",https://transport.rajasthan.gov.in/content/transportportal/en/jaipur-bus/schedules-maps/bus-routes.html,Go to source URL
162,Jaipur Metro Fare Matrix,the Fare structure of metro operations by JMRC dated 11.09.2020,"fare, JMRC",Public Transportation,,Jaipur North Region,unknown,city,one-time,,2024,open,printed table,JMRCL,"Jaipur Metro Rail Corporation Ltd. (2020), NA",https://transport.rajasthan.gov.in/content/dam/transport/metro/Passenger%20Information/MetroFares/Notification%20Fare%20structure%20of%20metro%20operation%20by%20JMRC%20dtd_11.09.2020.pdf.pdf,Go to source URL
142,Jaipur Metro Stations,Finished and proposed map of the number of metro stations and routes in Jaipur City.,"metro stations, routes, proposed, finished",Public Transportation,,Jaipur City,unknown,city,one-time,,,open,printed map,JMRCL,"Jaipur Metro Rail Corporation Ltd. (2024), NA",https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/MetroStations.html,Go to source URL
160,Jaipur Metro Time Table,Salient feaures of public time table w.e.f. 31.01.2023,time table,Public Transportation,,Jaipur North Region,unknown,city,one-time,,2023,open,printed table,JMRCL,"Jaipur Metro Rail Corporation Ltd. (2023), NA",https://transport.rajasthan.gov.in/content/dam/transport/metro/Passenger%20Information/Metro%20time%20Table/Salient%20Features%20of%20Time%20Table%20w.e.f.%2030.01.2023.pdf,Go to source URL
137,My Safetipin App Audit Score In Jaipur City,"ReportID, safetiPinScore,mediaURL, comments, observationDateTime, location of various locations in Jaipur city ","Location Data, safety, women",Public Transportation,MoHUA IUDX data,Jaipur Development Authority (2018),unknown,discrete locations,one-time,,2019,private,json,JDA,"Indian urban data exchange (2023) IUDX, NA",https://catalogue.cos.iudx.org.in/jaipur/dataset/91e116be-03bd-4f3d-a60b-e9db59bf48f0,Go to source URL
153,Operational Brts Corridors,"Operational BRTS Corridors 
",BRTS Cooridors,Public Transportation,L&T Infra Engineering Transport Study,Jaipur City,unknown,city,one-time,,2022,open,printed map,JDA,"L&T Infra Engineering (2022) Comprehensive Traffic and Transportation Study for Jaipur Region, vol1, Figure 7-70, Pg. 7-111",Document not yet published,Not currently available
161,Parking Rate At Metro Station,parking rate at metro station,"parking rate, metro station",Public Transportation,,Jaipur North Region,unknown,city,one-time,,2024,open,printed table,JMRCL,"Jaipur Metro Rail Corporation Ltd. (2024), NA",https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/ParkingatMetroStations.html,Go to source URL
154,Passenger Amenities Near Metro Stations,"passenger amenities near metro stations like hospitals, cafe & hotels, police stations and others","amenities, hospitals, police station, ",Public Transportation,,Jaipur North Region,unknown,region,one-time,,2024,open,printed table,JMRCL,"Jaipur Metro Rail Corporation Ltd. (2024), NA",https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/PASSENGERAMENITIESNEARMETROSTATIONS.html,Go to source URL
140,Public Transport Access Jaipur,"Number of AC / Non AC buses, number of bus terminals, number of bus stands, number of bus stops","public tranport, access,jaipur",Public Transportation,Smartcities.gov.in data,Jaipur Region,unknown,region,one-time,,2019,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/publictransportaccessjaipur,Go to source URL
138,Recommended Mass Transit Corridor For Jaipur City With Phasing,Population density for the 2nd phase metro of jaipur,"mass transit, corridor, metro phase 2, density",Public Transportation,,Jaipur Municipal Corporation,unknown,region,one-time,,2017,open,printed map,"egis rail,egis india, feedback infra","Comprehensive Mobility Plan, Urban Transport Sector Assessment Report jaipur, fig 0-2",https://transport.rajasthan.gov.in/content/dam/transport/metro/Project/DPR%20Phase%20II/CMP%20Executive%20Summary%20Final.pdf,Go to source URL
143,Route Map Of Jaipur Metro,Route Map of Jaipur Metro,"route map, metro, jaipur",Public Transportation,,Jaipur City,unknown,city,one-time,,2018,open,printed map,JMRCL,"Jaipur Metro Rail Corporation Ltd. (2024), NA",https://transport.rajasthan.gov.in/content/transportportal/en/metro/PassengerInformation/MetroStations.html,Go to source URL
157,Type Of Approach To Village And Bus Services In Jaipur Region,information about the approaches to the village and bus services.,"Bus services, villages",Public Transportation,master plan map,Jaipur Region,unknown,region,one-time,,2001,open,printed map,JDA,"JDA (2011) Master Development Plan 2025, vol1, Map 3-16, pg. 170",https://jda.rajasthan.gov.in/content/dam/raj/udh/development-authority/jda-jaipur/pdf/MDP/Vol1.pdf,Go to source URL
167,Electricity Consumption Jaipur,"Consumption of electricity for domestic, industrial,commerial, public waterworks and street lights, and other consumptions","domestic, industrial,commerial, public waterworks, street lights, electricity, energy",Resource Use,Smartcities.gov.in data,Jaipur Municipal Corporation Greater (2019),unknown,region,one-time,,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/electricity-consumption-jaipur,Go to source URL
168,Water Consumption Jaipur,"Ward wise water supply capacity,domestic water consumption and percentage area of water supply network","Water supply, ward wise",Resource Use,Smartcities.gov.in data,Jaipur Municipal Corporation,unknown,region,one-time,,2018,open,csv,"CDO- Ajay Kumar, Jaipur Nagar Nigam","JSCL (2019) Ministry of housing and urban affairs,smart city data catalogue, NA",https://smartcities.data.gov.in/catalog/water-consumption-jaipur,Go to source URL
170,"Satellite Image Cartosat 1 ,Cartodem (2.5m,10m Spatial Resolution)",Satellite imagery of DSM of 10m Posting and 2.5m Posting with swath width 14km x14km  is available,"satellite image, CARTOSAT",Satellite Images,Cartosat,India,4-5 days,spatial grid,one-time,2005,2019,paid,geotiff image,ISRO,"ISRO (2024) Bhoonidhi, NA",https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html,Go to source URL
169,"Satellite Image Cartosat 1 Pan, Stereo (2.5m Spatial Resolution)","Satellite imagery of 2.5m spatial resolution PAN-Ortho Rectified (without GCP), Stereo- RAD Ortho kit with 27.5kmx27.5km swath width","satellite image, CARTOSAT",Satellite Images,Cartosat,India,4-5 days,spatial grid,one-time,2005,2019,paid,geotiff image,ISRO,"ISRO (2024) Bhoonidhi, NA",https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html,Go to source URL
171,"Satellite Image Cartosat 2 Pan, (1m Spatial Resolution)",Satellite imagery of GEO Orthokit and Ortho Rectified (without GCP) with swath width of 9.8km x 9.8km is available,"satellite image, CARTOSAT",Satellite Images,Cartosat,India,4-5 days,spatial grid,one-time,2007,2019,paid,geotiff image,ISRO,"ISRO (2024) Bhoonidhi, NA",https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html,Go to source URL
173,"Satellite Image Cartosat 2s, Mx, (1.60m Spatial Resolution)","Satellite imagery of GEO Orthokit, Ortho Rectified (without GCP),Ortho Mosaic (Min:2, Max : 4 ), and NCC & FCC (Ortho Rectified-without GCP) with swath width of 9.8km x 9.8km is available","satellite image, CARTOSAT",Satellite Images,Cartosat,India,4-5 days,spatial grid,one-time,2016,2024,paid,geotiff image,ISRO,"ISRO (2024) Bhoonidhi, NA",https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html,Go to source URL
174,"Satellite Image Cartosat 2s, Pan+Mx, (0.60m Spatial Resolution)","Satellite imagery of Pan-sharpened, Pan-sharpened Mosaic (Min:2, Max:4), and NCC & FCC (Pan-sharpened) with swath width of 9.8km x 9.8km is available","satellite image, CARTOSAT",Satellite Images,Cartosat,India,4-5 days,spatial grid,one-time,2016,2024,paid,geotiff image,ISRO,"ISRO (2024) Bhoonidhi, NA",https://bhoonidhi.nrsc.gov.in/bhoonidhi/index.html,Go to source URL
